idna_subject,checker_type,destination,tested_at
kls.secure-cart.biz,AVAILABILITY,origin.list,2022-05-10 05:37:59.730710
www.amazing-offers.co.il,AVAILABILITY,origin.list,2022-05-10 05:37:59.943732
www.ayehcleaners.com,AVAILABILITY,origin.list,2022-05-10 05:38:00.343535
www.advancedmactools.com,AVAILABILITY,origin.list,2022-05-10 05:38:00.686332
www.advancedsoftwaresupport.com,AVAILABILITY,origin.list,2022-05-10 05:38:00.884725
wwwbackstreetboys.com,AVAILABILITY,origin.list,2022-05-10 05:38:00.945897
www.butterfly-media.co.uk,AVAILABILITY,origin.list,2022-05-10 05:38:01.214038
www.adforati.com,AVAILABILITY,origin.list,2022-05-10 05:38:01.325571
www.clearshieldredirect.com,AVAILABILITY,origin.list,2022-05-10 05:38:01.484048
www.fastnclick.com,AVAILABILITY,origin.list,2022-05-10 05:38:01.772027
trk.simply.net,AVAILABILITY,origin.list,2022-05-10 05:38:02.079123
www.bestwm.info,AVAILABILITY,origin.list,2022-05-10 05:38:02.216510
www.getsearchlist.com,AVAILABILITY,origin.list,2022-05-10 05:38:02.370499
wwwcareerpath.com,AVAILABILITY,origin.list,2022-05-10 05:38:02.639814
d.tds.adlabs.ru,AVAILABILITY,origin.list,2022-05-10 05:38:02.713974
www.bluemountain2.com,AVAILABILITY,origin.list,2022-05-10 05:38:03.182022
ttt.fwq101.tk,AVAILABILITY,origin.list,2022-05-10 05:38:03.192152
wwwdiynet.com,AVAILABILITY,origin.list,2022-05-10 05:38:03.266644
www.cleanup-your-computer.com,AVAILABILITY,origin.list,2022-05-10 05:38:03.752227
top.dating.lt,AVAILABILITY,origin.list,2022-05-10 05:38:03.961591
www.beyondwhois.com,AVAILABILITY,origin.list,2022-05-10 05:38:04.041019
www.full-edition.info,AVAILABILITY,origin.list,2022-05-10 05:38:04.274045
www.elisaart.it,AVAILABILITY,origin.list,2022-05-10 05:38:04.517586
wwwbluemoutain.com,AVAILABILITY,origin.list,2022-05-10 05:38:04.611663
www.itunesdownloadstore.com,AVAILABILITY,origin.list,2022-05-10 05:38:04.837503
wwwgamepro.com,AVAILABILITY,origin.list,2022-05-10 05:38:05.047714
wwwgameshark.com,AVAILABILITY,origin.list,2022-05-10 05:38:05.195869
www.gratisweb.com,AVAILABILITY,origin.list,2022-05-10 05:38:05.605436
www.fastdownload10.com,AVAILABILITY,origin.list,2022-05-10 05:38:05.630018
www.hot2015rewards.com,AVAILABILITY,origin.list,2022-05-10 05:38:05.768074
compactiongames.gameaholic.com,AVAILABILITY,origin.list,2022-05-10 05:38:06.040172
wwwmancow.com,AVAILABILITY,origin.list,2022-05-10 05:38:06.188464
www.jmp2click.com,AVAILABILITY,origin.list,2022-05-10 05:38:06.304019
www.leadingedgecash.com,AVAILABILITY,origin.list,2022-05-10 05:38:06.313859
www.lycosgamesville.com,AVAILABILITY,origin.list,2022-05-10 05:38:06.593854
www.maxregistrycleaner.net,AVAILABILITY,origin.list,2022-05-10 05:38:06.889911
www.maybankard.com.my,AVAILABILITY,origin.list,2022-05-10 05:38:06.954105
www.japanmadchen.com,AVAILABILITY,origin.list,2022-05-10 05:38:06.968495
www.maconbraves.com,AVAILABILITY,origin.list,2022-05-10 05:38:07.434290
www.paypal-exchange.com,AVAILABILITY,origin.list,2022-05-10 05:38:07.485088
www.mpxxtrk.com,AVAILABILITY,origin.list,2022-05-10 05:38:07.518546
t.zeroredirect.com,AVAILABILITY,origin.list,2022-05-10 05:38:07.615997
www.pc-detox.com,AVAILABILITY,origin.list,2022-05-10 05:38:08.036752
www.sunidaytravel.co.uk,AVAILABILITY,origin.list,2022-05-10 05:38:08.120800
www.mapquestt.com,AVAILABILITY,origin.list,2022-05-10 05:38:08.161933
www.ocpersian.com,AVAILABILITY,origin.list,2022-05-10 05:38:08.417414
