subject,idna_subject,expiration_date,epoch
0iecfobt.com,0iecfobt.com,05-feb-2021,1612483200.0
1001movies.com,1001movies.com,24-jul-2021,1627084800.0
105vibe.com,105vibe.com,16-mar-2021,1615852800.0
11hour.com,11hour.com,07-dec-2021,1638835200.0
11zz.com,11zz.com,18-jun-2021,1623974400.0
123go.com,123go.com,10-oct-2021,1633824000.0
2607.cn,2607.cn,25-nov-2021,1637798400.0
302br.net,302br.net,22-jun-2022,1655856000.0
39dvd-999.com,39dvd-999.com,17-jul-2021,1626480000.0
77search.com,77search.com,28-nov-2021,1638057600.0
7metasearch.com,7metasearch.com,14-jul-2021,1626220800.0
7search.com,7search.com,25-may-2021,1621900800.0
7softwaredreams.com,7softwaredreams.com,06-jun-2021,1622937600.0
94uyvwwh.com,94uyvwwh.com,05-feb-2021,1612483200.0
abacusfinance.co.uk,abacusfinance.co.uk,26-jul-2021,1627257600.0
accidentadvicehelpline.co.uk,accidentadvicehelpline.co.uk,12-apr-2022,1649721600.0
acezsoftware.com,acezsoftware.com,14-oct-2021,1634169600.0
actrck.com,actrck.com,22-sep-2021,1632268800.0
ad-souk.com,ad-souk.com,15-aug-2021,1628985600.0
adamsfilms.com,adamsfilms.com,31-aug-2021,1630368000.0
adblockanalytics.com,adblockanalytics.com,03-feb-2021,1612310400.0
adchimp.com,adchimp.com,09-feb-2021,1612828800.0
adclickservice.com,adclickservice.com,14-sep-2021,1631577600.0
adclickthru.net,adclickthru.net,04-may-2021,1620086400.0
additcinggames.com,additcinggames.com,22-feb-2021,1613952000.0
adforati.com,adforati.com,21-may-2021,1621555200.0
adgtracker.com,adgtracker.com,24-nov-2021,1637712000.0
adlock.in,adlock.in,05-jul-2021,1625443200.0
adnetworkperformance.com,adnetworkperformance.com,27-apr-2021,1619481600.0
adobe-flashplayer.com,adobe-flashplayer.com,01-oct-2021,1633046400.0
adprotect.net,adprotect.net,07-mar-2021,1615075200.0
adtegrity.com,adtegrity.com,24-sep-2021,1632441600.0
advancedcleaner.com,advancedcleaner.com,25-mar-2021,1616630400.0
advancedmactools.com,advancedmactools.com,16-oct-2021,1634342400.0
aff12.com,aff12.com,09-dec-2021,1639008000.0
affntwklnk.com,affntwklnk.com,04-apr-2021,1617494400.0
afftrack.com,afftrack.com,17-sep-2022,1663372800.0
agstracker.com,agstracker.com,29-nov-2021,1638144000.0
aimes.com,aimes.com,01-nov-2021,1635724800.0
akirkpatrick.com,akirkpatrick.com,15-feb-2021,1613347200.0
alaksaair.com,alaksaair.com,17-aug-2021,1629158400.0
alaskaaair.com,alaskaaair.com,26-jul-2021,1627257600.0
albiondrugs.com,albiondrugs.com,09-jul-2021,1625788800.0
all-internet-security.com,all-internet-security.com,17-jan-2021,1610841600.0
allfet.info,allfet.info,18-sep-2021,1631923200.0
american-prize-center.com,american-prize-center.com,20-aug-2022,1660953600.0
analyticdns.org,analyticdns.org,07-feb-2026,1770422400.0
andr.net,andr.net,07-dec-2021,1638835200.0
anews.co.uk,anews.co.uk,05-sep-2022,1662336000.0
angelinajoliepics.com,angelinajoliepics.com,22-may-2021,1621641600.0
anglewinks.com,anglewinks.com,12-dec-2021,1639267200.0
angolotesti.it,angolotesti.it,10-jun-2021,1623283200.0
animal36.com,animal36.com,07-mar-2021,1615075200.0
