idna_subject,checker_type,destination,source,tested_at,session_id
0koryu0.easter.ne.jp,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:49.655042,4f61d43b49b8a18adb888903
1001movies.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:49.696330,4f61d43b49b8a18adb888903
101malls.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:50.061034,4f61d43b49b8a18adb888903
105vibe.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:50.612428,4f61d43b49b8a18adb888903
11165583-40348.id2.clickprotects.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:50.639395,4f61d43b49b8a18adb888903
11hour.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:51.256822,4f61d43b49b8a18adb888903
11zz.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:51.347862,4f61d43b49b8a18adb888903
188838.parkingcrew.net,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:51.864057,4f61d43b49b8a18adb888903
1gavcom.popunder.ru,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:52.479846,4f61d43b49b8a18adb888903
1xxx.cqcounter.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:53.004273,4f61d43b49b8a18adb888903
2.rubanners.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:53.885300,4f61d43b49b8a18adb888903
21750.tctm.co,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:54.351796,4f61d43b49b8a18adb888903
2607.cn,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:55.695975,4f61d43b49b8a18adb888903
302br.net,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:56.194102,4f61d43b49b8a18adb888903
32e1dff65ea4eb3627ed-f1ecc94c86a56d3e42e512fcfd192886.r6.cf1.rackcdn.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:56.576373,4f61d43b49b8a18adb888903
39dvd-999.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:56.955769,4f61d43b49b8a18adb888903
0.r.msn.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:59.141145,4f61d43b49b8a18adb888903
050005.voodoo.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:59.170461,4f61d43b49b8a18adb888903
050003.voodoo.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:59.243299,4f61d43b49b8a18adb888903
4.e-why.net,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:59.506485,4f61d43b49b8a18adb888903
4133.88.primosearch.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:59.826556,4f61d43b49b8a18adb888903
404.xxxymovies.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:22:59.891774,4f61d43b49b8a18adb888903
422653.parkingcrew.net,AVAILABILITY,origin.list,origin.list,2023-05-24 05:23:00.043349,4f61d43b49b8a18adb888903
4654.2465.primosearch.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:23:00.363628,4f61d43b49b8a18adb888903
5.estasiatica.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:23:00.513067,4f61d43b49b8a18adb888903
5.eventiduepuntozero.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:23:00.646542,4f61d43b49b8a18adb888903
5486.winxp.primosearch.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:23:00.905264,4f61d43b49b8a18adb888903
5490.spedads.primosearch.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:23:01.092184,4f61d43b49b8a18adb888903
6266.570204.primosearch.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:23:01.180844,4f61d43b49b8a18adb888903
6b8a953b2bf7788063d5-6e453f33ecbb90f11a62a5c376375af3.r71.cf5.rackcdn.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:23:01.477468,4f61d43b49b8a18adb888903
633642.parkingcrew.net,AVAILABILITY,origin.list,origin.list,2023-05-24 05:23:01.683631,4f61d43b49b8a18adb888903
123go.com,AVAILABILITY,origin.list,origin.list,2023-05-24 05:23:01.717045,4f61d43b49b8a18adb888903
